Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-11-12,Groundhog Day,1993,https://boxd.it/bGd2fp,5,,,2021-01-02
2025-11-12,Rookies Go to War,1974,https://boxd.it/bGf6PP,4,,,2021-01-05
2025-11-12,Rookies Run Amok,1971,https://boxd.it/bGf77J,4,Yes,,2021-01-05
2025-11-12,The Platform,2019,https://boxd.it/bGd1zt,4,,,2021-01-08
2025-11-12,The Brain,1969,https://boxd.it/bGd2CN,4,Yes,,2021-01-16
2025-11-12,The Gendarme Gets Married,1968,https://boxd.it/bGf63V,4,,,2021-01-22
2025-11-12,"Watch Out, We're Mad",1974,https://boxd.it/bGf6rD,4,Yes,,2021-01-28
2025-11-12,They Call Me Trinity,1970,https://boxd.it/bGd3M5,4,Yes,,2021-02-05
2025-11-12,How to Pull Out a Whale's Tooth,1977,https://boxd.it/bGf7wT,,,,2021-02-06
2025-11-12,How to Get Daddy to Change,1978,https://boxd.it/bGf7W3,,Yes,,2021-02-07
2025-11-12,Inglourious Basterds,2009,https://boxd.it/bGfcl7,4,Yes,,2021-02-11
2025-11-12,In Time,2011,https://boxd.it/bGcYnT,3.5,Yes,,2021-02-17
2025-11-12,You Were Never Really Here,2017,https://boxd.it/bGdR1D,3.5,,,2021-02-23
2025-11-12,Quantum of Solace,2008,https://boxd.it/bGdRkv,,Yes,,2021-03-12
2025-11-12,Rush Hour,1998,https://boxd.it/bGd5sL,,Yes,,2021-03-13
2025-11-12,"Marecek, Pass Me the Pen!",1976,https://boxd.it/bGf8qH,4,Yes,,2021-03-13
2025-11-12,Rush Hour 2,2001,https://boxd.it/bGd5IT,,Yes,,2021-03-14
2025-11-12,Crown Vic,2019,https://boxd.it/bGd49N,4,,,2021-03-19
2025-11-12,Gladiator,2000,https://boxd.it/bGfdZd,4.5,Yes,,2021-03-20
2025-11-12,Let's Rob the Bank,1964,https://boxd.it/bGdOl1,3.5,Yes,,2021-03-27
2025-11-12,Asterix & Obelix: Mission Cleopatra,2002,https://boxd.it/bGd4yD,3.5,Yes,,2021-04-14
2025-11-12,The Prestige,2006,https://boxd.it/bGdREP,5,Yes,,2021-04-15
2025-11-12,It's a Wonderful Life,1946,https://boxd.it/bGcZnF,5,Yes,,2021-04-17
2025-11-12,Ruby & Quentin,2003,https://boxd.it/bGdWbN,4,Yes,,2021-04-17
